Row,Var1
r_0016,0.185243841311845
r_0023,-0.799697227148376
r_0025,-0.677299496767698
r_0027,0.138460145953875
r_0029,-0.764540371865357
r_0032,0.141973775128333
r_0039,0.713148891261608
r_0040,0.71136507669657
r_0042,0.596367443735627
r_0060,-0.800266800533563
r_0061,0.292560628790606
r_0065,0.712623962296422
r_0079,0.508450213622192
r_0091,0.39506074980111
r_0096,-0.645618196223971
r_0097,-0.627812918260439
r_0109,0.233462160506832
r_0112,-0.135638233289859
r_0115,0.636739101197485
r_0118,0.694306512999817
r_0151,0.773907060431114
r_0152,0.642487504109283
r_0153,0.71753915272047
r_0154,-0.152110745568717
r_0173,-0.340554844762867
r_0175,-0.281603257541471
r_0195,0.710407110771077
r_0202,0.0321743557376232
r_0203,0.100307980877334
r_0207,0.74660016241671
r_0208,0.770517865158669
r_0211,0.111045471513936
r_0214,0.928116789759144
r_0215,0.160803208192231
r_0216,0.20394550713118
r_0219,0.242246226606042
r_0225,0.6981261934337
r_0250,0.107416486789147
r_0279,0.661220518185536
r_0280,-0.00427135322262003
r_0300,0.177730026729092
r_0302,-0.0187517704164573
r_0307,-0.0120553636421735
r_0309,-0.473170542073742
r_0310,-0.507808032727548
r_0352,-0.649002743158447
r_0353,0.156426276869099
r_0361,-0.208070645026143
r_0364,-0.122850262220671
r_0450,0.247069878270613
r_0451,0.256845365062609
r_0466,0.226017258225999
r_0467,0.220256786945902
r_0468,0.62601563842676
r_0471,0.260067253973722
r_0473,0.239548612106477
r_0476,0.13380498158018
r_0485,-0.181933252236454
r_0486,0.352943325672402
r_0489,0.520695539698492
r_0491,0.417584546660972
r_0505,0.0168945559676473
r_0514,0.375786376153719
r_0528,0.273490018900047
r_0536,0.823195840028642
r_0538,0.736570216866597
r_0542,0.21609007646744
r_0545,0.426724175584167
r_0547,0.219849019312164
r_0548,-0.0672856560639951
r_0563,0.824346173987445
r_0564,0.609466522991684
r_0565,0.18702814252481
r_0566,0.0787257681808231
r_0568,-0.0583174279153804
r_0570,0.505046605912554
r_0658,-0.068658612400797
r_0663,0.231617361131984
r_0669,0.198053372437837
r_0697,-0.00774265312020774
r_0699,-0.764262978713113
r_0713,0.16957080923112
r_0718,0.782701067579949
r_0722,-0.508317112302751
r_0723,-0.332278338303991
r_0727,0.488901467764693
r_0759,0.640491132606357
r_0770,-0.0090109139280939
r_0773,0.143004469553781
r_0799,0.227351756482006
r_0800,-0.228140808744625
r_0811,-0.351157639188346
r_0813,-0.00270032938602001
r_0816,0.72485428196027
r_0818,0.812198404203
r_0821,0.668687930159724
r_0831,0.192790867443913
r_0832,0.148212952397162
r_0855,0.665658153915718
r_0883,-0.217064061675841
r_0886,0.495545148428957
r_0887,-0.216561409531709
r_0888,-0.212375825747517
r_0889,0.100172915561811
r_0891,-0.0979478933227799
r_0892,0.206997986038176
r_0893,0.392445487345924
r_0902,-0.455265601330829
r_0908,0.653011739442686
r_0909,0.82844120008027
r_0910,0.82713624082037
r_0911,0.524864635522501
r_0912,0.504078051783536
r_0914,0.66620773144419
r_0915,0.635623107629024
r_0918,0.294853149697486
r_0957,-0.264117563670501
r_0958,0.512052513667767
r_0959,0.688181839599725
r_0961,0.258577729570768
r_0962,0.534676150414273
r_0970,-0.24037712369312
r_0971,-0.239342339829379
r_0973,-0.239867317883647
r_0984,-0.0450840311736246
r_0988,0.330444824085297
r_0989,0.438173239336606
r_0990,-0.258705271401523
r_0996,0.7127894929062
r_0997,0.710459139197259
r_1022,0.476709139485693
r_1026,-0.0107323167569288
r_1027,-0.365671693718404
r_1038,-0.225706118075669
r_1041,0.234417207641225
r_1045,-0.1586382834981
r_1049,-0.0138127235789964
r_1050,0.360962369382905
r_1051,0.705437327966031
r_1054,0.500904526320223
r_1055,-0.0123535362619924
r_1072,-0.124785713265494
r_1074,0.461054759433759
r_1088,0.425103386498994
r_1136,-0.511002218837789
r_1574,-0.823929599119329
r_1667,-0.00645331405897726
r_1838,0.249708834055576
r_2115,-0.265335911223817
r_2132,-0.0897782044970431
r_2140,-0.0475575147936783
r_2141,-0.289399867013933
r_2197,0.0564038212904124
r_2199,0.0298529375338797
r_4039,-0.238202355288419
cstm_PPK,-0.632751053926168
